time,power,generation
43958.625,1.949,0.2
43958.63542,1.432,0.3
43958.64583,1.368,0.4
43958.65625,1.34,0.3
43958.66667,0.996,0.2
43958.67708,1.029,0.3
43958.6875,1.2,0.3
43958.69792,1.259,0.3
43958.70833,1.091,0.3
43958.71875,0.839,0.2
43958.72917,0.559,0.1
43958.73958,0.439,0.2
43958.75,0.324,0
43958.76042,0.237,0.1
43958.77083,0.165,0
43958.78125,0.124,0.1
43958.79167,0.1,0
43958.80208,0.066,0
43958.8125,0,0
43958.82292,0,0
43958.83333,0,0
43958.84375,0,0
43958.85417,0,0
43958.86458,0,0
43958.875,0,0
43958.88542,0,0
43958.89583,0,0
43958.90625,0,0
43958.91667,0,0
43958.92708,0,0
43958.9375,0,0
43958.94792,0,0
43958.95833,0,0
43958.96875,0,0
43958.97917,0,0
43958.98958,0,0
43959,0,0
43959.01042,0,0
43959.02083,0,0
43959.03125,0,0
43959.04167,0,0
43959.05208,0,0
43959.0625,0,0
43959.07292,0,0
43959.08333,0,0
43959.09375,0,0
43959.10417,0,0
43959.11458,0,0
43959.125,0,0
43959.13542,0,0
43959.14583,0,0
43959.15625,0,0
43959.16667,0,0
43959.17708,0,0
43959.1875,0,0
43959.19792,0,0
43959.20833,0,0
43959.21875,0,0
43959.22917,0.135,0
43959.23958,0.275,0.1
43959.25,0.534,0.1
43959.26042,0.606,0.1
43959.27083,1.027,0.3
43959.28125,0.583,0.1
43959.29167,0.75,0.2
43959.30208,0.817,0.2
43959.3125,1.063,0.3
43959.32292,2.49,0.3
43959.33333,2.064,0.6
43959.34375,2.054,0.5
43959.35417,2.774,0.7
43959.36458,3.248,0.8
43959.375,2.94,0.7
43959.38542,3.604,1
43959.39583,4.043,1
43959.40625,3.235,0.8
43959.41667,3.652,0.9
43959.42708,3.225,0.8
43959.4375,3.144,0.8
43959.44792,2.656,0.7
43959.45833,1.994,0.5
43959.46875,2.07,0.5
43959.47917,3.209,0.8
43959.48958,2.4,0.6
43959.5,3.093,0.8
43959.51042,4.048,1
43959.52083,2.855,0.7
43959.53125,3.654,1
43959.54167,3.274,0.8
43959.55208,2.295,0.6
43959.5625,1.843,0.4
43959.57292,2.223,0.6
43959.58333,1.91,0.5
43959.59375,1.62,0.4
43959.60417,1.825,0.5
43959.61458,1.51,0.3
43959.625,1.882,0.5
43959.63542,1.89,0.5
43959.64583,2.526,0.6
43959.65625,2.853,0.8
43959.66667,2.962,0.7
43959.67708,2.523,0.6
43959.6875,1.597,0.4
43959.69792,1.228,0.4
43959.70833,0.797,0.2
43959.71875,0.705,0.1
43959.72917,0.599,0.2
43959.73958,0.467,0.1
43959.75,0.37,0.1
43959.76042,0.273,0.1
43959.77083,0.216,0
43959.78125,0.117,0
43959.79167,0.099,0.1
43959.80208,0.083,0
43959.8125,0.011,0
43959.82292,0,0
43959.83333,0,0
43959.84375,0,0
43959.85417,0,0
43959.86458,0,0
43959.875,0,0
43959.88542,0,0
43959.89583,0,0
43959.90625,0,0
43959.91667,0,0
43959.92708,0,0
43959.9375,0,0
43959.94792,0,0
43959.95833,0,0
43959.96875,0,0
43959.97917,0,0
43959.98958,0,0
43960,0,0
43960.01042,0,0
43960.02083,0,0
43960.03125,0,0
43960.04167,0,0
43960.05208,0,0
43960.0625,0,0
43960.07292,0,0
43960.08333,0,0
43960.09375,0,0
